Product Id,Product Handle,Product Title,Product Status,Product Thumbnail,Product Sales Channel 1,Variant Id
prod_01KFYY2RR25G1MJDAH424HVZEC,romatomoto,Roma tomato ,published,https://target.scene7.com/is/image/Target/GUEST_a19aa6fe-d6cb-4a07-960b-2e0dd5e07e39?qlt=85&fmt=webp&hei=500&wid=500,sc_01KFYY2M39BYXJPRGV7K60VK0R,variant_01KFYY2SC38VQM3CSDMN9NM20Q
prod_01KFYY2RR25G1MJDAH424HVZEC,romatomoto,Roma tomato ,published,https://target.scene7.com/is/image/Target/GUEST_a19aa6fe-d6cb-4a07-960b-2e0dd5e07e39?qlt=85&fmt=webp&hei=500&wid=500,sc_01KFYY2M39BYXJPRGV7K60VK0R,variant_01KFYY2SC3H2QRG6JCG04Y9G5D
prod_01KFYY2RR25G1MJDAH424HVZEC,romatomoto,Roma tomato ,published,https://target.scene7.com/is/image/Target/GUEST_a19aa6fe-d6cb-4a07-960b-2e0dd5e07e39?qlt=85&fmt=webp&hei=500&wid=500,sc_01KFYY2M39BYXJPRGV7K60VK0R,variant_01KFYY2SC4SGCHCQ54G8NH5FCF
prod_01KFYY2RR25G1MJDAH424HVZEC,romatomoto,Roma tomato ,published,https://target.scene7.com/is/image/Target/GUEST_a19aa6fe-d6cb-4a07-960b-2e0dd5e07e39?qlt=85&fmt=webp&hei=500&wid=500,sc_01KFYY2M39BYXJPRGV7K60VK0R,variant_01KFYY2SC4YQZH45QS23TQK4ZY
prod_01KFYY2RR287WT5RV1Y569Z7P0,galaappale,Gala Apple,published,https://target.scene7.com/is/image/Target/GUEST_0c37e27f-4772-48d3-8510-11cb3f8e3bc6?qlt=85&fmt=webp&hei=500&wid=500,sc_01KFYY2M39BYXJPRGV7K60VK0R,variant_01KFYY2SC37JZ1KCKWYF2TEJEV
prod_01KFYY2RR287WT5RV1Y569Z7P0,galaappale,Gala Apple,published,https://target.scene7.com/is/image/Target/GUEST_0c37e27f-4772-48d3-8510-11cb3f8e3bc6?qlt=85&fmt=webp&hei=500&wid=500,sc_01KFYY2M39BYXJPRGV7K60VK0R,variant_01KFYY2SC39GCZXMRPH1THDB99
prod_01KFYY2RR287WT5RV1Y569Z7P0,galaappale,Gala Apple,published,https://target.scene7.com/is/image/Target/GUEST_0c37e27f-4772-48d3-8510-11cb3f8e3bc6?qlt=85&fmt=webp&hei=500&wid=500,sc_01KFYY2M39BYXJPRGV7K60VK0R,variant_01KFYY2SC3C86YPDE2851VM72S
prod_01KFYY2RR287WT5RV1Y569Z7P0,galaappale,Gala Apple,published,https://target.scene7.com/is/image/Target/GUEST_0c37e27f-4772-48d3-8510-11cb3f8e3bc6?qlt=85&fmt=webp&hei=500&wid=500,sc_01KFYY2M39BYXJPRGV7K60VK0R,variant_01KFYY2SC3SWXNM5ZPSTM8S876
prod_01KFYY2RR2EKCWPAF6N4PAZ1C2,almondmilk,Almond Breeze Shelf Stable non-Dairy Almond Milk,published,https://target.scene7.com/is/image/Target/GUEST_d1c1193f-1154-47de-993f-c2168767b2d5?qlt=85&fmt=webp&hei=500&wid=500,sc_01KFYY2M39BYXJPRGV7K60VK0R,variant_01KFYY2SC1WQDJ8DSBWEE37X3N
prod_01KFYY2RR2EKCWPAF6N4PAZ1C2,almondmilk,Almond Breeze Shelf Stable non-Dairy Almond Milk,published,https://target.scene7.com/is/image/Target/GUEST_d1c1193f-1154-47de-993f-c2168767b2d5?qlt=85&fmt=webp&hei=500&wid=500,sc_01KFYY2M39BYXJPRGV7K60VK0R,variant_01KFYY2SC213GGPJVQ4G2JPKG0
